"comid","site","NPP_kgCm2","ET_kgm2year"
90060,"S19S_0042",58510.2575963688,915759.271855839
664126,"S19S_0098",788828.001498653,875006.145086436
664436,"SP-72",8426625.51814257,8723050.96385885
664488,"S19S_0097",20157490.3278704,21193621.925861
698676,"S19S_0024",5779056.35474559,7092996.62222743
880648,"MP-101898",10461092301.0814,13112765441.7449
880824,"MP-101897",165783.814830526,317761.582347047
1049671,"S19S_0011",21238768.7024366,29704682.8022171
1239639,"S19S_0027",132820.280350413,103920.31345494
1239663,"MP-102398",363769.874866422,421973.965855741
1306285,"S19S_0025",771452.193219704,1058474.44007124
1314635,"MP-103594",1543271.36237931,2331788.88328573
1332186,"EAS-RUS",144906.722801097,249505.331315914
1332190,"EAS-BRA",42264.9601671649,81849.5739002212
1332198,"EAS-ROC",63635.2414558083,77272.543439686
1332224,"SP-12",913980.887537606,1250385.33953109
1332234,"MP-102420",577541.017580352,644143.666632001
1332754,"EAS-PUM",947765.689513431,1458459.69929935
1333022,"TAY-TAY",3885293.91371513,5119163.27737212
1333418,"EAS-ALM",10324788.5830291,12156987.2736657
1333490,"TAY-RES",8394008.33516646,10364244.0622203
1439297,"MP-102321",24275822.4004484,43227637.5929124
1566256,"MP-102322",4786016.00020946,6518454.8815081
1748723,"S19S_0052",2794333.74383604,2095569.05854596
1814999,"MP-101336",15295683.2420045,13132399.5835689
1889750,"SP-21",70650436.4085517,51363164.7509629
2161766,"SP-47",9444668.65105514,12376658.646906
2161826,"SP-35",6049968.44256255,9285920.90293934
2232693,"MP-100819",385878207.976967,560595879.189628
2252949,"MP-102055",13364626286.5911,15336815037.8418
2297254,"MP-100981",872436157.948548,1549247772.16672
2298964,"MP-100984",956865776.452932,1692327064.21236
2649684,"SP-6",473439435.262523,502662250.152057
2663987,"S19S_0069",217452.55504355,143001.292761683
2665551,"S19S_0070",189932.609421766,124366.399542898
2820034,"SP-20",391580829.406983,345099658.41369
2821830,"MP-102600",59942952.3003062,49972174.6520379
2889384,"S19S_0071",106930.003080339,78192.6000464279
2889452,"S19S_0026",252028.36465711,198510.280507153
2900705,"S19S_0077",37473435.2343259,34506460.1678423
3232569,"GUN-GRJ",274365982.348308,269602183.956073
3252173,"GUN-TUN",136231243.225753,135759401.301568
3252637,"S19S_0062",36387914.8170733,38711854.3615645
3252665,"GUN-GUN",36719997.0992862,39020058.1529527
3252693,"GUN-R32",72001951.5109336,69885396.0180802
3424530,"S19S_0015",261118125.538049,444726730.231661
3473077,"S19S_0067",2176881.65512802,2623325.55906742
3649284,"S19S_0017",320130.846683677,440974.892901783
3730389,"MP-102063",1822533262.43657,2446236517.30718
3886082,"S19S_0099",246137660.705825,341251846.045254
3953581,"MP-102602",34852699.0908311,27902032.8760042
4366016,"MP-101915",160871393.578442,209429070.885964
4570659,"CT-EBRA",4175733.81017025,2938397.25931152
4570675,"CT-MOOS",6441350.26798724,4289599.47374317
4572307,"CT-SLPR",3686540.61772215,3193747.61814687
4572347,"CT-POPE",346265.002585457,245954.45652028
4572379,"CT-PASS",34469797.0756266,28547113.1357127
4577456,"SP-18",5024557.88783159,3470126.22714924
4650944,"S19S_0037",0,212978.833929727
4682628,"S19S_0064",3188258.57064677,2828019.89973642
4711518,"MP-103805",2255446.29108238,2791421.71492854
4784831,"MP-100379",161074646.665925,250677523.912239
5336835,"MP-101929",7634525.78813451,8350198.5366857
5555562,"MP-102327",796454706.723334,976702130.771995
5771725,"MP-102337",145673756.03073,143732843.794807
5781917,"MP-102338",975890170.764238,1098603762.15226
5781919,"S19S_0063",974683217.990022,1096270003.27623
5844986,"MP-100019",2228441.38441509,2362072.23968675
5848094,"MP-100020",2022077.35716914,1820080.84771931
5848106,"MP-100021",3460051.77454141,3388106.4118835
5860599,"S19S_0073",139784.75983957,111725.240121199
5862611,"S19S_0072",314617.802384728,694516.130783703
6084503,"MP-100068",57078693.3132229,39313664.0479108
6109169,"S19S_0053",130351.79874423,94980.6293052307
6109235,"CT-PHEL",236538.444520516,178242.506458418
6109247,"CT-BUNN",295463.171374591,254042.546564161
6109457,"CT-NEPA",1793333.62841976,1472781.1992556
6109643,"CT-UNIO",29916111.4951736,27996994.2416818
6109717,"CT-FARM",51246048.2344791,57001114.7605681
6111419,"CT-STIL",6941531.40959236,6187881.24566987
6177260,"MP-103089",3465333.4424837,5291074.39923924
6186124,"MP-100201",8786411.85977443,6803574.43161018
6333706,"SP-5",908602.489159751,1829880.53100645
6667827,"MP-101584",310454276.046854,513517464.624756
6667885,"MP-101583",304433643.621411,502095006.863749
6883680,"S19S_0089",761237.0633626,1307195.26970882
6884184,"MP-101142",17729294.3015119,20019970.4495861
6908699,"MP-101143",245513462.270175,235916969.237149
7690025,"HOPB",354848.255199114,325136.664537834
7700898,"CT-THOM",780639391.910692,706115899.625026
7843181,"MP-102340",105791332.737937,148613486.48989
7972667,"MP-103531",253488283.872756,211640969.799671
8272693,"S19S_0065",88433926.9550154,50823356.6055434
8380297,"S19S_0082",0,666426.044801211
8444872,"S19S_0014",262173.53019916,280975.045882293
8508050,"S19S_0054",57336364.6654427,102333203.786909
8611825,"MP-100607",296257.29414525,564442.491737293
8785913,"MP-103149",5803074.09174562,10350159.0233798
8922013,"SP-23",1892379.06409778,3128303.39750657
8932036,"MP-102534",91028462.6742829,137600642.868813
9071892,"SP-66",92840203.5564379,136027032.854223
9071958,"SP-4",74024182.6418471,109922837.740795
9090922,"MP-100670",46126023.0345119,81883365.1240049
9175254,"MP-100667",387741474.695729,676882705.843231
9643259,"S19S_0044",3070718.24723235,5595740.63521805
9680956,"MP-103034",712534.257314725,1373455.31832569
9693728,"MP-103021",1682911.68258045,4351051.45119653
10247687,"MP-100785",32858331.4333243,53296570.8164937
10389524,"MP-103975",7345892.02125839,13105917.3447568
10664258,"MP-102358",272669245.61977,307139148.75142
11323962,"S19S_0032",53241.5309378437,86139.0544266663
11574664,"MP-100656",44238828.3341953,67132314.0550599
11689186,"S19S_0006",0,3695187.15294832
11722717,"S19S_0023",29800776.0795352,28876684.765957
12058092,"S19S_0090",150561.473666085,143689.735386574
12890609,"S19S_0009",42516170.9253446,53182361.825102
13204443,"MP-101527",377021826.41791,449128157.037771
13294176,"S19S_0043",728887.728370094,672985.201982038
13571661,"S19S_0083",9990209.8921845,13765462.7473866
13633173,"S19S_0061",27180.3118949635,24614.5106590101
14347322,"MP-100747",629900908.352288,1137534461.51539
14353056,"MP-100749",655911395.845319,1189151052.0308
15096243,"MP-102281",64235645.082596,102131660.516036
15140491,"MP-102277",15566626.7978241,22999196.2728427
15612718,"SP-1",61431385.3325659,71651515.8597146
15890430,"SP-13",110273315.947317,149547115.045354
