"comid","year","PET","ET","NPP"
90060,2022,655.310363769531,655.310363769531,0.545376598834991
90060,2023,655.310363769531,655.310363769531,0.47579750418663
664126,2022,154.814895629883,38.879524230957,0.273788303136826
664126,2023,138.1181640625,43.7581443786621,0.330918163061142
664436,2022,156.058349609375,41.8763008117676,0.323285311460495
664436,2023,138.423080444336,46.7664909362793,0.397780656814575
664488,2022,158.354049682617,45.6751670837402,0.356507480144501
664488,2023,139.86784362793,50.6573638916016,0.439217388629913
698676,2022,167.003753662109,54.682502746582,0.364848613739014
698676,2023,157.82698059082,64.0190734863281,0.483016818761826
880648,2022,132.462524414062,87.6108856201172,0.674723565578461
880648,2023,135.090194702148,84.9554214477539,0.668778657913208
880824,2022,453.588775634766,431.507598876953,1.9496328830719
880824,2023,456.632476806641,431.113891601562,1.9912257194519
1049671,2022,170.238677978516,97.2590713500977,0.907952666282654
1049671,2023,170.267517089844,98.0525436401367,0.913447976112366
1239639,2022,148.109451293945,39.7992744445801,0.508631944656372
1239639,2023,145.231491088867,42.4216232299805,0.572370171546936
1239663,2022,146.870223999023,39.8570556640625,0.342158645391464
1239663,2023,144.055999755859,42.6421127319336,0.361577600240707
1306285,2022,180.468780517578,44.0170707702637,0.276632755994797
1306285,2023,173.86669921875,45.0214538574219,0.382314026355743
1314635,2022,138.8203125,54.2784690856934,0.354198634624481
1314635,2023,137.939559936523,53.3746109008789,0.367829263210297
1332186,2022,120.735054016113,54.1971855163574,0.290086388587952
1332186,2023,123.238983154297,52.5099945068359,0.293046206235886
1332190,2022,123.650657653809,53.4369010925293,0.261924654245377
1332190,2023,127.541465759277,52.2117156982422,0.265459209680557
1332198,2022,126.947456359863,54.0530319213867,0.363890379667282
1332198,2023,128.845031738281,51.783805847168,0.369257807731628
1332224,2022,124.10498046875,51.8363189697266,0.334323436021805
1332224,2023,126.024215698242,49.379825592041,0.329430431127548
1332234,2022,133.199005126953,53.1989555358887,0.418097138404846
1332234,2023,134.050643920898,51.2057876586914,0.422028422355652
1332754,2022,121.388092041016,53.9946556091309,0.31270769238472
1332754,2023,123.58447265625,52.0257110595703,0.321094512939453
1333022,2022,131.356994628906,49.9350700378418,0.347471863031387
1333022,2023,131.701202392578,49.1389198303223,0.374145865440369
1333418,2022,127.246246337891,51.932788848877,0.391134977340698
1333418,2023,128.230316162109,50.348804473877,0.402183502912521
1333490,2022,140.18537902832,50.5345878601074,0.382322579622269
1333490,2023,139.632263183594,50.6301651000977,0.400710374116898
1439297,2022,263.442840576172,189.718521118164,1.1442996263504
1439297,2023,263.721496582031,193.783264160156,1.16502225399017
1566256,2022,163.06950378418,81.9224319458008,0.706643402576447
1566256,2023,161.567947387695,84.3381958007812,0.752317011356354
1748723,2022,110.23966217041,69.1411590576172,0.898889303207397
1748723,2023,104.548698425293,65.2664260864258,0.88130784034729
1814999,2022,99.4153594970703,65.8154525756836,0.75141566991806
1814999,2023,95.89794921875,65.8795318603516,0.720575630664825
1889750,2022,184.910980224609,47.6739959716797,0.606913030147552
1889750,2023,168.276779174805,55.7741508483887,0.688704907894135
2161766,2022,169.906311035156,95.7936630249023,0.895194709300995
2161766,2023,172.551315307617,96.8585968017578,0.926341533660889
2161826,2022,209.730102539062,147.272659301758,1.15376126766205
2161826,2023,212.645141601562,147.173522949219,1.18017303943634
2232693,2022,176.007308959961,99.0976409912109,0.891135334968567
2232693,2023,176.172103881836,104.322593688965,0.995516896247864
2252949,2022,139.286254882812,43.7087860107422,0.326648980379105
2252949,2023,130.46501159668,47.6007194519043,0.377934604883194
2297254,2022,188.75212097168,108.221908569336,0.819821298122406
2297254,2023,187.17366027832,116.668014526367,0.934051394462585
2298964,2022,188.597900390625,108.184501647949,0.819908916950226
