"comid","PET_2021_mm_yr","ET_2021_mm_yr","NPP_2021_kgC_m2_yr"
90060,655.310363769531,655.310363769531,0.562605500221252
664126,162.275817871094,38.6664924621582,0.272974938154221
664436,162.793228149414,41.2676811218262,0.313422173261642
664488,165.079788208008,44.2256355285645,0.335721641778946
698676,152.029434204102,70.9963073730469,0.579190671443939
880648,135.064270019531,85.8497619628906,0.643101096153259
880824,452.385528564453,430.890808105469,1.94148695468903
1049671,167.090713500977,99.7702941894531,0.966732800006866
1239639,152.620315551758,41.0561752319336,0.540030598640442
1239663,152.026184082031,41.8850059509277,0.358575075864792
1306285,164.29557800293,58.8936996459961,0.509970664978027
1314635,142.677490234375,53.7862663269043,0.382600635290146
1332186,127.789604187012,51.7953262329102,0.326831072568893
1332190,131.956466674805,51.7835845947266,0.287523001432419
1332198,133.148956298828,52.268367767334,0.420220702886581
1332224,132.40397644043,50.1972618103027,0.360408067703247
1332234,139.767166137695,51.225772857666,0.457211494445801
1332754,128.835342407227,52.6165428161621,0.349156409502029
1333022,135.967300415039,48.295539855957,0.383880794048309
1333418,134.394134521484,50.9311943054199,0.425499200820923
1333490,144.606536865234,49.5374488830566,0.414474576711655
1439297,254.976150512695,202.644577026367,1.18772900104523
1566256,154.839508056641,93.7923736572266,0.721672713756561
1748723,105.196388244629,68.0249481201172,0.862286925315857
1814999,106.957260131836,66.0148391723633,0.717658698558807
1889750,180.37483215332,48.0846977233887,0.56656539440155
2161766,164.786911010742,94.4335708618164,0.871082246303558
2161826,206.110122680664,146.118637084961,1.12657713890076
2232693,169.641098022461,101.856735229492,0.935358703136444
2252949,143.195648193359,42.7627258300781,0.316112071275711
2297254,183.658645629883,115.301849365234,0.928089439868927
2298964,183.143859863281,115.170051574707,0.928579330444336
2649684,119.421485900879,78.7223968505859,0.701506197452545
2663987,149.577301025391,82.7267074584961,1.35766851902008
2665551,148.563842773438,88.5507354736328,1.46258318424225
2820034,202.640350341797,48.1484222412109,0.463240206241608
2821830,194.997467041016,55.598201751709,0.552756071090698
2889384,149.902908325195,40.2342300415039,0.529640078544617
2889452,148.411285400391,43.1506881713867,0.539873659610748
2900705,149.399459838867,38.4215126037598,0.340862065553665
3232569,165.088684082031,41.4001998901367,0.383779257535934
3252173,156.912872314453,41.6845397949219,0.394958227872849
3252637,145.312774658203,46.4913520812988,0.427375018596649
3252665,145.61604309082,46.4415855407715,0.426318198442459
3252693,152.961059570312,40.013542175293,0.395217895507812
3424530,170.799530029297,99.5557098388672,0.855253279209137
3473077,118.456527709961,77.7677307128906,0.637549638748169
3649284,140.436248779297,58.1559448242188,0.488184958696365
3730389,154.306838989258,50.6376914978027,0.409893304109573
3886082,161.609298706055,106.266609191895,0.764042735099792
3953581,184.528762817383,51.9890747070312,0.522549986839294
4366016,140.551010131836,65.0759506225586,0.474828571081161
4570659,93.735969543457,59.918628692627,0.799350202083588
4570675,93.7283630371094,58.8951606750488,0.813958823680878
4572307,105.188751220703,74.2017669677734,0.822475135326385
4572347,94.5866012573242,63.1690635681152,0.804290354251862
4572379,105.023506164551,72.4230499267578,0.817735135555267
4577456,101.327827453613,64.0827178955078,0.862362325191498
4650944,119.299537658691,75.2995071411133,0.708010017871857
4682628,118.000640869141,70.0628128051758,0.867441415786743
4711518,124.754264831543,75.2867202758789,0.861776113510132
4784831,198.063735961914,157.300369262695,1.10621607303619
5336835,133.969711303711,44.5808868408203,0.352402865886688
5555562,187.200378417969,47.7645034790039,0.438820749521255
5771725,176.310256958008,45.6395683288574,0.533186018466949
5781917,190.894973754883,41.3269538879395,0.415300220251083
5781919,190.83659362793,41.244930267334,0.414915293455124
5844986,135.39094543457,96.2969589233398,0.914278566837311
5848094,107.721519470215,65.3887100219727,0.750901103019714
5848106,114.52880859375,73.2091751098633,0.794853508472443
5860599,111.707160949707,74.6383056640625,0.989049315452576
5862611,318.502380371094,289.220703125,1.71512472629547
6084503,99.7629928588867,64.0418930053711,0.846150755882263
6109169,110.839332580566,68.2590026855469,1.00384032726288
6109235,111.582679748535,67.9896697998047,0.990459620952606
6109247,113.113945007324,71.5093994140625,0.903615832328796
6109457,113.223480224609,70.5136032104492,0.949026644229889
6109643,126.262992858887,84.1448593139648,0.965859830379486
6109717,153.596923828125,113.538200378418,1.08139753341675
6111419,124.570449829102,82.7269287109375,0.982069373130798
6177260,242.481811523438,208.576141357422,1.49696063995361
6186124,107.945159912109,68.1037368774414,0.898914694786072
6333706,655.299987792969,655.299987792969,3.27620005607605
6667827,142.006729125977,84.0657424926758,0.520302534103394
6667885,141.293838500977,83.4200897216797,0.517347693443298
6883680,321.625335693359,269.699981689453,1.61715352535248
6884184,143.532928466797,78.9918746948242,0.785788238048553
6908699,143.332611083984,77.2884902954102,0.862692952156067
7690025,108.165596008301,65.1895141601562,0.770801484584808
7700898,120.407043457031,83.2932586669922,0.879493892192841
7843181,153.763549804688,87.6493072509766,0.709798276424408
7972667,181.876068115234,47.2589988708496,0.410407066345215
8272693,171.714080810547,58.920654296875,0.856527209281921
8380297,134.011581420898,88.616813659668,0.816794872283936
8444872,130.085983276367,70.4848785400391,0.700822174549103
8508050,146.340072631836,90.313850402832,0.626787006855011
8611825,144.328826904297,75.492057800293,0.484190046787262
8785913,303.673278808594,248.012634277344,1.52172613143921
8922013,331.327362060547,237.867172241211,1.38382434844971
8932036,280.561492919922,166.276733398438,0.9875847697258
9071892,163.579711914062,104.108177185059,0.967519760131836
9071958,157.231185913086,97.5413589477539,0.930749297142029
9090922,159.97639465332,90.1272354125977,0.822051823139191
9175254,162.531448364258,96.7315139770508,0.807939469814301
9643259,151.316268920898,97.1563339233398,0.869831085205078
