"site","comid","NPP_mean_kgC_m2_yr","ET_mean_kg_m2_yr","NPP_total_kgC_yr","ET_total_kg_yr","ET_total_m3_yr"
"S19S_0042",90060,0.401009857654572,NA,2010077.7389652,0,0
"S19S_0098",664126,0.349647521972656,385.194610595703,23631912.1954122,25770532690.1656,25770532.6901656
"S19S_0098",664126,0.349647521972656,385.194610595703,23631912.1954122,25770532690.1656,25770532.6901656
"SP-72",664436,0.393919944763184,402.328430175781,249105314.527949,251957563296.189,251957563.296189
"S19S_0097",664488,0.404562473297119,402.221588134766,577359950.473581,568033378885.982,568033378.885982
"S19S_0024",698676,0.581812143325806,706.661926269531,190663945.875454,228864576384.61,228864576.38461
"MP-101898",880648,0.592564046382904,633.430053710938,253570798231.615,268517582548560,268517582548.56
"MP-101897",880824,0.737212836742401,754.889953613281,588476.157118288,586490592.246234,586490.592246234
"S19S_0011",1049671,0.668219327926636,913.541137695312,663898331.91417,899034849904.887,899034849.904887
"S19S_0027",1239639,0.527924060821533,410.231018066406,4107395.94336609,3157264520.22079,3157264.52022079
"MP-102398",1239663,0.363244652748108,418.484283447266,11259536.50974,12831776333.3224,12831776.3333224
"S19S_0025",1306285,0.433207631111145,590.321228027344,25956128.7717325,34952970490.2662,34952970.4902662
"MP-103594",1314635,0.342998921871185,496.747985839844,44917461.113938,64280845950.3879,64280845.9503879
"EAS-RUS",1332186,0.303197979927063,518.48779296875,4537711.62549133,7673988507.68884,7673988.50768884
"EAS-BRA",1332190,0.27087327837944,520.982421875,1323887.00171216,2518176209.79848,2518176.20979848
"EAS-ROC",1332198,0.431208848953247,520.039306640625,1993739.50760528,2377832640.7222,2377832.6407222
"SP-12",1332224,0.369987040758133,502.706146240234,28652887.8751409,38499143155.8926,38499143.1558926
"MP-102420",1332234,0.462077528238297,511.841766357422,18124593.4215684,19853246343.1492,19853246.3431492
"EAS-PUM",1332754,0.343704074621201,525.289978027344,29694444.7207855,44878155023.5664,44878155.0235664
"EAS-PUM",1332754,0.343704074621201,525.289978027344,29694444.7207855,44878155023.5664,44878155.0235664
"EAS-PUM",1332754,0.343704074621201,525.289978027344,29694444.7207855,44878155023.5664,44878155.0235664
"TAY-TAY",1333022,0.368984758853912,482.841400146484,121783861.55803,157582780464.495,157582780.464495
"EAS-ALM",1333418,0.433991223573685,507.512390136719,323982875.481768,374592994479.568,374592994.479568
"TAY-RES",1333490,0.382456183433533,451.796813964844,251021280.79393,293061597317.796,293061597.317796
"MP-102321",1439297,0.57812225818634,762.757873535156,336609258.579284,434699615064.97,434699615.06497
"MP-102322",1566256,0.671334624290466,857.183166503906,157571693.083884,198080143692.703,198080143.692703
"S19S_0052",1748723,0.914922654628754,681.442199707031,83435016.3860104,61519325750.3058,61519325.7503058
"MP-101336",1814999,0.765235066413879,634.379760742188,418796094.980219,344229368235.906,344229368.235906
"SP-21",1889750,0.632658720016479,391.580230712891,2069493889.30433,1265904799973.56,1265904799.97356
"SP-47",2161766,0.684543371200562,867.590515136719,310092901.204342,388859667287.909,388859667.287909
"SP-35",2161826,0.836987555027008,989.524291992188,177500784.660445,199550292934.221,199550292.934221
"MP-100819",2232693,0.690781354904175,888.936828613281,12956374398.8034,16202693365068,16202693365.068
"MP-102055",2252949,0.337815433740616,363.978393554688,350443661581.285,366666261205277,366666261205.277
"MP-100981",2297254,0.530616223812103,869.98046875,22913130937.7982,37000517587075.7,37000517587.0757
"MP-100984",2298964,0.542791485786438,872.116577148438,25774924829.6359,40642649521916.7,40642649521.9167
"SP-6",2649684,0.693320393562317,659.718078613281,12144698367.7348,11443616144000,11443616144
"S19S_0069",2663987,1.26879549026489,828.682189941406,6775339.09168003,4376709755.30443,4376709.75530443
"S19S_0070",2665551,1.36190283298492,885.667175292969,5920268.35849809,3807655970.96296,3807655.97096296
"SP-20",2820034,0.465982496738434,296.729431152344,10356757075.582,6522430156353.57,6522430156.35357
"MP-102600",2821830,0.598751306533813,358.387634277344,1614754661.03164,953597298477.484,953597298.477484
"S19S_0071",2889384,0.550352573394775,399.694366455078,3300635.44336459,2371245014.16271,2371245.01416271
"S19S_0026",2889452,0.552294254302979,432.041076660156,7778344.15142206,6018918348.43449,6018918.34843449
"S19S_0077",2900705,0.41473799943924,373.267395019531,1127006296.33831,1003725792330.52,1003725792.33052
"GUN-GRJ",3232569,0.409931510686874,384.83544921875,8337641065.09505,7740510291678.1,7740510291.6781
"GUN-TUN",3252173,0.409311890602112,394.503845214844,4176855289.83999,3981866922705.03,3981866922.70503
"S19S_0062",3252637,0.433196306228638,451.521179199219,1127907360.54033,1162093411591.39,1162093411.59139
"GUN-GUN",3252665,0.431889533996582,449.995574951172,1136069474.2425,1170301390442.62,1170301390.44262
"GUN-R32",3252693,0.409378319978714,391.057983398438,2243186737.47163,2118565477701.46,2118565477.70146
"S19S_0015",3424530,0.532502710819244,869.732238769531,7854950735.21624,12673119436142.8,12673119436.1428
"S19S_0067",3473077,0.654908955097198,740.646789550781,63797372.2677977,70999330819.1506,70999330.8191506
"S19S_0017",3649284,0.425961494445801,582.743774414062,10032509.4444057,13573102028.2963,13573102.0282963
"MP-102063",3730389,0.363121300935745,470.351989746094,53696452110.9474,68755288518111.8,68755288518.1118
"S19S_0099",3886082,0.564954280853271,606.958129882812,5162469299.03074,5481954084819.66,5481954084.81966
"MP-102602",3953581,0.598007023334503,382.971313476562,980566994.409071,620462209253.708,620462209.253708
"MP-101915",4366016,0.393408089876175,399.573059082031,3461331530.16944,3476030003277.09,3476030003.27709
"CT-EBRA",4570659,0.86302661895752,590.90771484375,119653167.836268,81030771773.2005,81030771.7732005
"CT-MOOS",4570675,0.889809250831604,588.515197753906,184990098.456819,121253282027.204,121253282.027204
"CT-SLPR",4572307,0.838988065719604,630.175170898438,98673484.5000018,73197728019.9888,73197728.0199888
"CT-POPE",4572347,0.898212850093842,633.645446777344,9959224.48946287,6962497298.49887,6962497.29849887
"CT-PASS",4572379,0.837398648262024,606.15185546875,919391706.417266,658789167145.962,658789167.145962
"SP-18",4577456,0.933042466640472,639.984985351562,144997046.285571,98548687005.8011,98548687.0058011
"S19S_0037",4650944,NA,757.947631835938,0,6472359445.25996,6472359.44525996
"S19S_0037",4650944,NA,757.947631835938,0,6472359445.25996,6472359.44525996
"S19S_0064",4682628,0.794374585151672,699.802062988281,97493247.173079,84982120490.9029,84982120.4909029
"MP-103805",4711518,0.690232574939728,750.075805664062,69591372.2085897,84627284935.618,84627284.935618
"MP-100379",4784831,0.633939504623413,706.881042480469,2628641239.14343,2900994222939.65,2900994222.93965
"MP-101929",5336835,0.411468178033829,440.419555664062,218603228.59627,231663167563.462,231663167.563462
"MP-102327",5555562,0.364858210086823,414.954498291016,24880445041.7593,27974291242341.9,27974291242.3419
"MP-102337",5771725,0.464415937662125,453.488311767578,5040296109.16849,4863770982104.45,4863770982.10445
"MP-102338",5781917,0.346723765134811,364.36572265625,31315915797.0703,32519891469869.5,32519891469.8695
"S19S_0063",5781919,0.346713334321976,364.343994140625,31312855346.0204,32515657221624.7,32515657221.6247
