"site","comid","NPP_mean_kgC_m2_yr","ET_mean_kg_m2_yr","NPP_total_kgC_yr","ET_total_kg_yr","ET_total_m3_yr"
"MP-100019",5844986,0.79235976934433,665.820007324219,53725242.6652578,44681366914.516,44681366.914516
"MP-100020",5848094,0.730719566345215,653.227722167969,59478790.5085694,52658526141.0396,52658526.1410396
"MP-100021",5848106,0.749981582164764,663.350341796875,97944187.7003268,85273383071.0542,85273383.0710542
"S19S_0073",5860599,0.951105952262878,754.990295410156,4136597.92568347,3251513070.70953,3251513.07070953
"S19S_0072",5862611,0.682989656925201,648.4580078125,3160161.32700078,2414170469.50957,2414170.46950957
"MP-100068",6084503,0.933783769607544,631.209350585938,1650779812.03142,1105122588442.07,1105122588.44207
"S19S_0053",6109169,0.946622371673584,685.039672851562,3912103.46326862,2802327335.94529,2802327.33594529
"CT-PHEL",6109235,0.912951290607452,683.24755859375,7107940.47514527,5265327886.97807,5265327.88697807
"CT-BUNN",6109247,0.849020063877106,725.006591796875,8881740.18277707,7507354153.47274,7507354.15347274
"CT-NEPA",6109457,0.870691537857056,682.467041015625,53784483.6424711,41541808603.4622,41541808.6034622
"CT-UNIO",6109643,0.844625115394592,675.474792480469,797396313.811706,631507724985.717,631507724.985717
"CT-FARM",6109717,0.837246954441071,679.5693359375,1143944850.93542,920964805574.961,920964805.574961
"CT-STIL",6111419,0.867738783359528,679.185729980469,186704796.882444,145185113930.048,145185113.930048
"MP-103089",6177260,0.85054624080658,716.208801269531,49666446.9652142,40555584773.3063,40555584.7733063
"MP-100201",6186124,0.888786137104034,671.691284179688,260978191.1687,194884463109.035,194884463.109035
"SP-5",6333706,NA,NA,0,0,0
"MP-101584",6667827,0.392304062843323,556.54150390625,6345138648.13484,8884262691169.5,8884262691.1695
"MP-101583",6667885,0.392889738082886,557.796447753906,6273918830.63087,8793192189675.95,8793192189.67595
"S19S_0089",6883680,0.688216090202332,606.969665527344,6814509.68289953,5898862096.61507,5898862.09661507
"MP-101142",6884184,0.704493224620819,790.077575683594,570871301.225675,632905900292.714,632905900.292714
"MP-101143",6908699,0.795941412448883,738.739807128906,7725578997.87824,7088685704291.42,7088685704.29142
"HOPB",7690025,0.732276141643524,654.453186035156,10424283.3746212,9220299998.12951,9220299.99812951
"HOPB",7690025,0.732276141643524,654.453186035156,10424283.3746212,9220299998.12951,9220299.99812951
"CT-THOM",7700898,0.832225263118744,626.352172851562,19984894838.4936,14719092883064.6,14719092883.0646
"MP-102340",7843181,0.614618241786957,840.27392578125,3617996511.24377,4883155360049.89,4883155360.04989
"MP-103531",7972667,0.510254085063934,326.966644287109,6854190928.87043,4340872044035.63,4340872044.03563
"S19S_0065",8272693,0.996942281723022,495.102020263672,2637209693.78085,1294863389683.63,1294863389.68363
"S19S_0082",8380297,NA,900.0927734375,0,20506378910.2688,20506378.9102688
"S19S_0014",8444872,0.653159499168396,695.214965820312,8197977.61928695,8629729859.32674,8629729.85932674
"S19S_0054",8508050,0.475330859422684,831.548828125,1673092273.45362,2893888857515.43,2893888857.51543
"MP-100607",8611825,0.397922962903976,752.957824707031,9480353.4950986,17735133415.6063,17735133.4156063
"MP-103149",8785913,0.519691228866577,704.74560546875,49369806.2336766,67552146963.8756,67552146.9638757
"SP-23",8922013,0.569210529327393,321.743713378906,15212539.9556677,8475017975.50742,8475017.97550742
"MP-102534",8932036,0.529403805732727,293.209533691406,1076456789.77497,583124306966.232,583124306.966232
"SP-66",9071892,0.648604452610016,893.510314941406,2736627965.53787,3715336027187.84,3715336027.18784
"SP-4",9071958,0.626748621463776,896.767517089844,2295210081.27032,3246599770969.75,3246599770.96975
"MP-100670",9090922,0.475063651800156,820.313598632812,1415567141.87395,2415747895876.45,2415747895.87645
"MP-100667",9175254,0.501621127128601,843.6826171875,11157440308.9417,18555755214352.7,18555755214.3527
"S19S_0044",9643259,0.537564218044281,972.901489257812,103568915.900186,185229265648.044,185229265.648044
"MP-103034",9680956,0.548997521400452,770.544006347656,4504880.08767462,6163411797.29224,6163411.79729224
"MP-103021",9693728,0.334269881248474,856.103088378906,55936230.398147,141711833374.75,141711833.37475
"MP-100785",10247687,0.545837223529816,826.745056152344,1172368557.80829,1740192179772.1,1740192179.7721
"MP-103975",10389524,0.376771956682205,413.584106445312,60303653.8142721,65285488862.5375,65285488.8625375
"MP-102358",10664258,0.524831414222717,567.247436523438,9326638378.67598,9956030750438.63,9956030750.43863
"S19S_0032",11323962,0.104306653141975,158.32942199707,656542.837877367,993886718.500929,993886.718500929
"MP-100656",11574664,0.516303181648254,748.055541992188,1299102489.12209,1861095871446.27,1861095871.44627
"S19S_0006",11689186,NA,673.490844726562,0,2257337055.0398,2257337.0550398
"S19S_0006",11689186,NA,673.490844726562,0,2257337055.0398,2257337.0550398
"S19S_0006",11689186,NA,673.490844726562,0,2257337055.0398,2257337.0550398
"S19S_0006",11689186,NA,673.490844726562,0,2257337055.0398,2257337.0550398
"S19S_0023",11722717,0.320739418268204,307.937438964844,923076187.767262,876549814922.655,876549814.922655
"S19S_0090",12058092,0.932369232177734,883.732299804688,4826867.05174328,4523000237.60123,4523000.23760123
"S19S_0009",12890609,0.248400330543518,302.017150878906,1211321031.87216,1458444715267.28,1458444715.26728
"S19S_0009",12890609,0.248400330543518,302.017150878906,1211321031.87216,1458444715267.28,1458444715.26728
"S19S_0009",12890609,0.248400330543518,302.017150878906,1211321031.87216,1458444715267.28,1458444715.26728
"S19S_0009",12890609,0.248400330543518,302.017150878906,1211321031.87216,1458444715267.28,1458444715.26728
"MP-101527",13204443,0.644950032234192,686.104125976562,9686470513.60484,10203538317061.4,10203538317.0614
"S19S_0043",13294176,0.655500948429108,599.407958984375,21436224.9698362,19409917681.927,19409917.681927
"S19S_0083",13571661,0.495301693677902,674.9140625,306591424.228516,413117098136.473,413117098.136473
"S19S_0061",13633173,0.671188235282898,603.673461914062,799922.277139647,712510753.076382,712510.753076382
"MP-100747",14347322,0.523378789424896,886.545532226562,17833759405.4208,29732654142207.7,29732654142.2077
"MP-100747",14347322,0.523378789424896,886.545532226562,17833759405.4208,29732654142207.7,29732654142.2077
"MP-100747",14347322,0.523378789424896,886.545532226562,17833759405.4208,29732654142207.7,29732654142.2077
"MP-100747",14347322,0.523378789424896,886.545532226562,17833759405.4208,29732654142207.7,29732654142.2077
"MP-100747",14347322,0.523378789424896,886.545532226562,17833759405.4208,29732654142207.7,29732654142.2077
"MP-100749",14353056,0.529341340065002,889.001586914062,18710969249.8066,30852422400544.7,30852422400.5447
"MP-102281",15096243,0.585486769676208,890.446411132812,2106990506.45448,3158081373668.03,3158081373.66803
"MP-102277",15140491,0.573790907859802,820.519592285156,495039501.639141,700505185346.232,700505185.346232
"SP-1",15612718,0.554772675037384,615.75927734375,1781537008.3301,1955615203424.24,1955615203.42424
"SP-13",15890430,0.226116582751274,208.071762084961,2026572951.26888,1624963332809.84,1624963332.80984
"SP-10",15903137,0.230650126934052,211.647735595703,1966318003.38328,1561496993582.95,1561496993.58295
"SP-17",17416738,0.436197429895401,618.912414550781,13388560.8167182,18797767017.8656,18797767.0178656
"SP-2",17461568,0.287780731916428,303.901458740234,21023969126.8506,21962913341679.5,21962913341.6795
"S19S_0080",17808622,0.358510464429855,302.688995361328,13125640420.1543,10945249168828.2,10945249168.8282
"S19S_0066",17819084,0.359784156084061,303.775970458984,13080598127.8344,10906412888426.6,10906412888.4266
"S19S_0034",17827558,0.458868265151978,320.67138671875,2270450.45316343,1568255027.01702,1568255.02701702
"S19S_0034",17827558,0.458868265151978,320.67138671875,2270450.45316343,1568255027.01702,1568255.02701702
"MAYF",18208464,0.371491968631744,941.804443359375,5194769.19999211,13329511819.6711,13329511.8196711
"MAYF",18208464,0.371491968631744,941.804443359375,5194769.19999211,13329511819.6711,13329511.8196711
"SP-22",18208882,0.4315025806427,925.728759765625,1341154.78818219,3150949795.29247,3150949.79529247
"S19S_0021",18211220,0.609406173229218,933.508056640625,9545620445.81597,14452195369970.1,14452195369.9701
"S19S_0020",18548456,0.523246943950653,936.116882324219,23915265119.0912,42282456346616,42282456346.616
"MP-101022",18566327,0.706502318382263,927.257507324219,35293881.224877,45804686146.3467,45804686.1463467
"S19S_0016",18841314,0.377458691596985,673.125122070312,4989797.09621287,8800410026.36206,8800410.02636206
"S19S_0040",18841358,0.384983390569687,648.766357421875,625878.536821651,1043118759.29239,1043118.75929239
"SP-15",19088319,0.480236291885376,530.323120117188,1389528985794.25,1509742308390753,1509742308390.75
"MP-101276",19710385,0.78095805644989,780.3251953125,109140499.975193,107792581973.874,107792581.973874
"S19S_0028",20440650,0.296781927347183,222.496444702148,80690233.4623646,59782063046.9877,59782063.0469877
"MP-102385",20815146,0.593177199363708,342.253051757812,82346646.0238766,46960668067.7057,46960668.0677058
"S19S_0033",22048111,0.501883387565613,322.337738037109,13951433.0331351,8857665057.01391,8857665.05701391
"S19S_0008",22050323,0.723723471164703,348.954650878906,2763127.53871463,1317007781.61797,1317007.78161797
"S19S_0008",22050323,0.723723471164703,348.954650878906,2763127.53871463,1317007781.61797,1317007.78161797
"S19S_0008",22050323,0.723723471164703,348.954650878906,2763127.53871463,1317007781.61797,1317007.78161797
"S19S_0008",22050323,0.723723471164703,348.954650878906,2763127.53871463,1317007781.61797,1317007.78161797
"S19S_0019",22125024,0.71890515089035,774.475219726562,1863685.00968955,1984497351.84339,1984497.3518434
"S19S_0039",22125640,0.755334317684174,771.591186523438,32326324.4658948,33738240345.9563,33738240.3459563
"S19S_0018",22144520,0.632082104682922,725.540649414062,6019073.2113262,6828849842.62452,6828849.84262452
"MP-103224",22160728,0.758063197135925,765.015869140625,64016133.4662954,63847870018.0404,63847870.0180404
"MP-100167",22290155,0.965780198574066,661.511474609375,143163762.358726,97097414402.7519,97097414.4027519
"MP-100166",22290173,0.921899318695068,661.462890625,415051827.884782,295679214587.057,295679214.587057
"S19S_0081",22337975,NA,761.010864257812,0,84049583281.6324,84049583.2816325
"MP-100598",22339187,0.621842861175537,811.364074707031,26918866.1535201,35318388778.8679,35318388.7788679
"MP-103380",22559686,0.321967542171478,169.953353881836,5886260.90448963,3089493662.35178,3089493.66235178
"MP-103357",22563070,0.467634528875351,255.211303710938,37929158.842531,20079888162.6385,20079888.1626385
"MP-102203",22848175,0.429710566997528,462.322845458984,170592098637.708,181366658849128,181366658849.128
"S19S_0059",23027050,0.45658016204834,515.957824707031,3285597.21429795,3687395041.2616,3687395.0412616
"T02",23099678,0.481872767210007,361.404937744141,6415559447.23788,4775507720659.48,4775507720.65948
"S33",23099694,0.509004712104797,374.017333984375,5705075993.62247,4159386474349.53,4159386474.34953
"T03",23099844,0.522874891757965,380.533203125,4546475526.44236,3282356519493.71,3282356519.49371
"S57",23099862,0.53699004650116,387.601928710938,4391429224.35593,3144463500724.08,3144463500.72408
"S82",23099884,0.511421501636505,346.034088134766,211073812.745372,141463199132.359,141463199.132359
"S36",23100020,0.465975016355515,333.839752197266,574826853.985529,408414861606.604,408414861.606604
"S43",23100162,0.574510037899017,382.509063720703,209020700.610621,138046364305.759,138046364.305759
"S41R",23100180,0.612373173236847,401.929809570312,192005647.786497,125010172794.589,125010172.794589
"S64",23100200,0.606489717960358,367.206634521484,41051123.1619625,24654295245.2132,24654295.2452132
"S34",23100242,0.338594526052475,278.873107910156,488674033.196833,399116989983.428,399116989.983428
"S34",23100242,0.338594526052475,278.873107910156,488674033.196833,399116989983.428,399116989.983428
"S32",23100328,0.386818140745163,299.978729248047,271220097.204968,208569073851.38,208569073.85138
"S31",23100338,0.431452751159668,315.891998291016,113570829.078568,82460906998.8378,82460906.9988378
"S30R",23100398,0.466126888990402,325.392059326172,118775679.445899,82228310239.2938,82228310.2392938
"S63",23100404,0.495784819126129,339.502380371094,90548253.8339221,61493574315.6697,61493574.3156697
"S40",23100408,0.420321613550186,297.218505859375,26526170.1272996,18602242803.1578,18602242.8031578
"S37",23100428,0.545955300331116,373.174194335938,52732169.7683414,35746920877.0969,35746920.8770969
"S39",23100434,0.61222231388092,422.91552734375,29269884.2733012,20052960083.3227,20052960.0833227
"S63P",23100608,0.505478024482727,315.05615234375,16043951.4596115,9917350300.23397,9917350.30023397
"S42",23103496,0.512122690677643,339.724487304688,17565429.739912,11558296709.6202,11558296.7096202
"S38",23105314,0.464099735021591,322.054016113281,9143384.52822266,6292828477.46798,6292828.47746798
"S19S_0087",23302298,0.333604544401169,330.720947265625,4734801.19741302,4648325152.1271,4648325.1521271
"S19S_0085",23382303,0.477444350719452,423.290435791016,488567414.948689,429128858615.166,429128858.615166
"SP-19",23398865,0.379853129386902,356.781341552734,2648765835.68603,2464598291512.08,2464598291.51208
"S19S_0055",23459937,0.395520269870758,370.713439941406,149710759.235907,139206282112.833,139206282.112833
"MP-102901",23459939,0.39612939953804,371.406616210938,123588257.534427,114914456445.936,114914456.445936
"WHY-SIS",23700305,0.48527604341507,353.018341064453,77419235.2395855,55544227686.0472,55544227.6860472
"DES-BFA",23700413,0.689341366291046,363.333923339844,2407787998.11827,1255596972078.31,1255596972.07831
"DES-WIC",23700493,0.791142642498016,450.420776367188,485081425.874623,272424618717.085,272424618.717085
"BRO-LAP",23700569,0.805027902126312,450.958129882812,41560574.0230238,23061645867.4458,23061645.8674458
"DES-LAP",23700583,0.754837989807129,432.664672851562,79021871.6916657,44803771955.559,44803771.955559
"CUL-LAP",23700639,0.831908047199249,472.195343017578,43081218.0167111,24224239133.5887,24224239.1335887
"LDS-LAP",23706200,0.663941264152527,346.948638916016,1218245733.15333,630150803550.665,630150803.550665
"S19S_0041",23713956,0.283938735723495,274.358581542969,1896215779.34752,1816621784370.22,1816621784.37022
"DES-MOO",23718705,0.422881424427032,309.197509765625,10597476971.4483,7672625157969.09,7672625157.96909
"DES-MAD",23719673,0.43210369348526,307.012176513672,7859125665.63966,5529792189766.93,5529792189.76693
"TRO-GAT",23732545,0.313086271286011,274.411560058594,520060457.86521,451529427863.038,451529427.863038
"MP-104218",23737123,0.709957301616669,470.033660888672,15136543.4524974,9909679153.72161,9909679.1537216
"WIL-JAS",23751778,0.872988224029541,591.899963378906,2995806286.12849,2010053413129.88,2010053413.12988
"WIL-GOS",23759228,0.898093998432159,616.119995117188,1476814946.44839,1003510838021.84,1003510838.02184
"WIL-COR",23762877,0.871960580348969,574.2119140625,9631806373.64284,6278509535952.05,6278509535.95205
"SP-9",23762881,0.994478642940521,609.534729003906,769549931.763475,466733383554.717,466733383.554717
"SP-8",23763009,0.867801129817963,573.654846191406,8579136863.98425,5612986261293.06,5612986261.29306
"WIL-HAR",23763337,0.866159677505493,576.443481445312,7441829239.50665,4904939362568.78,4904939362.56878
"E020",23772789,0.83707731962204,530.528991699219,2239501678.70962,1406104893503.53,1406104893.50353
"E030",23772801,0.836475968360901,529.845336914062,2218350977.73913,1392103632942.33,1392103632.94233
"E030",23772801,0.836475968360901,529.845336914062,2218350977.73913,1392103632942.33,1392103632.94233
"E440",23772889,0.867596745491028,412.675079345703,34168891.3113356,16101839474.9316,16101839.4749316
"E040",23772909,0.831792652606964,542.069274902344,1887348722.64001,1218526623101.35,1218526623.10135
"BLU-BLU",23773405,0.814834415912628,590.091857910156,184138982.441894,131955411148.956,131955411.148956
"E543",23773411,0.841802418231964,620.072937011719,53249728.4779746,38863157240.6918,38863157.2406918
"E543",23773411,0.841802418231964,620.072937011719,53249728.4779746,38863157240.6918,38863157.2406918
"S19S_0031",23773423,0.843063116073608,637.635803222656,6942136.37980914,5202371241.68258,5202371.24168258
"BLU-TID",23773429,0.804485082626343,615.519470214844,95551338.3022323,72437200936.8228,72437200.9368228
"E547",23773463,0.777886688709259,396.385192871094,7727092.37932319,3901073049.84246,3901073.04984246
"E390",23773469,0.837374091148376,409.091796875,103934956.424451,50308496934.2289,50308496.9342289
"E310",23773487,0.910864114761353,622.208129882812,62280280.4439415,42149204923.4664,42149204.9234664
"E360",23774155,0.851262986660004,435.03173828125,4753017.52168107,2406601069.16454,2406601.06916454
"E410",23774225,0.833200991153717,408.175537109375,9495692.5956794,4608991464.05187,4608991.46405187
"E430",23774923,0.833351314067841,392.628936767578,11625551.1553288,5426767328.9022,5426767.3289022
"WIL-POR",23815040,0.838667571544647,549.210693359375,23358642627.0287,15149267934058.8,15149267934.0588
"MP-102944",23871899,1.04188549518585,616.417053222656,1809431511.40171,1061609393433.7,1061609393.4337
"MP-102695",23955772,0.751595139503479,544.234924316406,1482827855.37047,1000799136069.94,1000799136.06994
"S50",24125037,0.486839979887009,373.517303466797,2615679118.80746,1990758142336.65,1990758142.33665
"S79",24125115,0.520361185073853,394.733642578125,2378847989.30967,1791107041013.51,1791107041.01351
"S67",24125193,0.566377758979797,417.801208496094,2281367942.00472,1669919249030.81,1669919249.03081
"S73",24125421,0.628376066684723,446.431335449219,1854421441.05422,1307117504811.95,1307117504.81195
"S28RE",24125567,0.677816331386566,484.770721435547,1285632319.39563,912312796702.473,912312796.702473
"S19E",24125633,0.61847048997879,442.850433349609,151294999.790429,107520399694.87,107520399.69487
"S25",24125699,0.627540826797485,436.476196289062,48522565.2873934,33495501062.1082,33495501.0621082
"S19",24125729,0.703816294670105,455.925842285156,65255250.2279478,41955754047.1776,41955754.0471776
"S23",24125789,0.698307037353516,508.974853515625,890350920.523988,643553782324.003,643553782.324003
"S20R",24125811,0.629261016845703,497.811859130859,347256951.624674,272391568517.633,272391568.517633
"S24",24125859,0.595113933086395,498.752624511719,253507033.271201,210858114283.49,210858114.28349
"S24",24125859,0.595113933086395,498.752624511719,253507033.271201,210858114283.49,210858114.28349
"S18",24125873,0.56845086812973,495.717071533203,165853953.690043,143691606355.587,143691606.355587
"S18",24125873,0.56845086812973,495.717071533203,165853953.690043,143691606355.587,143691606.355587
"S13R",24125883,0.554546475410461,490.683624267578,74372528.2583898,65449164111.5556,65449164.1115556
"S14",24125945,0.560043632984161,499.4169921875,76307758.7072378,67546787695.5304,67546787.6955304
"S17",24125999,0.629311263561249,510.238677978516,59720780.8960323,47910135562.4242,47910135.5624242
"S17",24125999,0.629311263561249,510.238677978516,59720780.8960323,47910135562.4242,47910135.5624242
"S16",24126011,0.613120794296265,510.438903808594,49080197.8794514,40406386622.5759,40406386.6225759
"S15",24126041,0.68849128484726,514.284484863281,11203523.110662,8307010915.79942,8307010.91579942
"S21",24126059,0.756272852420807,523.716491699219,480112820.238597,329628358618.405,329628358.618405
"S21R",24126061,0.755636870861053,524.400634765625,464121675.800791,319324965516.201,319324965.516201
"S83",24126203,0.795876741409302,527.014587402344,60417579.1253535,39706358396.7029,39706358.3967029
"S29",24126251,0.657800018787384,450.714141845703,146270114.391814,99476169776.9858,99476169.7769858
"S29",24126251,0.657800018787384,450.714141845703,146270114.391814,99476169776.9858,99476169.7769858
"S72",24126315,0.588017046451569,376.571197509766,119026294.932753,75624226159.8226,75624226.1598226
"S71",24126327,0.589437901973724,376.424530029297,116805638.187018,74024194814.2829,74024194.8142828
"S68",24126399,0.244308948516846,238.535888671875,33517062.2280069,32474621158.9444,32474621.1589444
"U20",24126427,0.290375113487244,249.643325805664,19743527.5233718,16843693948.0188,16843693.9480188
"U22",24126443,0.370173126459122,268.288208007812,8620736.05041686,6200132098.41003,6200132.09841003
"W20",24126487,0.456262350082397,293.098327636719,115136846.8872,73391759684.226,73391759.6842261
"W10",24126509,0.52150160074234,317.124298095703,83781913.421727,50553848852.7496,50553848.8527496
"S27R",24126823,0.7525994181633,514.894104003906,12265604.2134362,8321343145.75239,8321343.14575239
"S28R",24131037,0.5680211186409,388.460113525391,145930320.000882,99055897509.9852,99055897.5099852
"S75",24131135,0.422474533319473,328.1533203125,95430373.3965797,73567557098.6202,73567557.0986202
"S19S_0036",24415028,0.490749776363373,391.966735839844,94655775641.5156,55844201850966.1,55844201850.9661
"S19S_0036",24415028,0.490749776363373,391.966735839844,94655775641.5156,55844201850966.1,55844201850.9661
"S58",24422669,0.659838438034058,424.587280273438,1616345856.08948,1032501011027.83,1032501011.02783
"S50P",24422713,0.683726847171783,437.666931152344,1124049558.02817,713864403453.755,713864403.453755
"T05P",24422823,0.75867760181427,502.492980957031,289651754.906513,190378822664.627,190378822.664627
"S08",24422831,0.774540185928345,520.527221679688,170794842.910674,113907563869.008,113907563.869008
"S12",24422871,0.770374834537506,508.227172851562,23027273.4168971,15075554888.9896,15075554.8889896
"S61",24422873,0.765056550502777,499.221740722656,18199516.1078524,11785151953.03,11785151.95303
"S01",24422913,0.683748662471771,449.272064208984,140042754.34782,91314768495.2961,91314768.4952961
"S01",24422913,0.683748662471771,449.272064208984,140042754.34782,91314768495.2961,91314768.4952961
"S02",24422975,0.693659007549286,457.617706298828,195101994.578802,127481991579.199,127481991.579199
