site,NPP_kgCm2,ET_kgm2year
S19S_0059,122182.9449,139023.0332
T02,277122436.3,265622638.7
S33,248077420,236344599.6
T03,197855879.1,187365243.7
S57,182485809.1,162448095.7
S82,9390039.356,8912210.093
S36,20882863.89,15419776.74
S43,7501711.62,5029021.869
S41R,6890437.49,4553652.783
S64,1473718.797,898422.8496
S34,17487300.68,14502022.32
S34,17487300.68,14502022.32
S32,9697850.313,7572480.082
S31,4062763.174,2995062.78
S30R,4243469.561,2982654.573
S63,3234873.124,2230416.019
S40,948230.9449,675129.8486
S37,1883456.831,1296251.348
S39,1045433.146,727142.9922
S63P,573041.3328,359625.6373
S42,630545.5979,421161.2157
S38,326693.1691,228263.5179
S19S_0087,160871.8761,160579.0543
S19S_0085,16806238.25,15002556.52
SP-19,94810203.4,93832010.24
S19S_0055,7851850.126,10030857.5
MP-102901,6419501.085,8182106.908
WHY-SIS,3344375.366,3468963.45
DES-BFA,93405592.78,66539327.87
DES-WIC,21863420.42,20551087.28
BRO-LAP,1426465.296,804573.1569
DES-LAP,2881563.847,1927011.57
CUL-LAP,1482603.844,847326.0735
LDS-LAP,43749126.11,26385299.85
S19S_0041,67024240.01,67020128.94
DES-MOO,397920543.8,333472974.4
DES-MAD,300857863.3,255243520.8
TRO-GAT,18146649.78,16014517.26
MP-104218,1945997.532,3209759.303
WIL-JAS,108112777.4,81449292.15
WIL-GOS,52026325.25,37757332.48
WIL-COR,363896586.2,286408661.6
SP-9,27581101.76,18393990.15
SP-8,326347160.5,260845503.6
WIL-HAR,278590093.7,217382764.8
E020,84963653.67,64628902.04
E030,84232511.49,64102409.63
E030,84232511.49,64102409.63
E440,1180066.349,565165.7109
E040,72792083.7,58005747.23
BLU-BLU,6474861.314,4905961.077
E543,1843458.277,1367240.616
E543,1843458.277,1367240.616
S19S_0031,240450.1594,183111.9707
BLU-TID,3310458.76,2550298.501
E547,267305.6474,137147.6256
E390,3595352.291,1768567.947
E310,2151785.037,1479994.148
E360,164322.466,84553.81869
E410,328244.2461,161909.8784
E430,402040.8587,190723.1403
WIL-POR,924287588.7,764851182.7
MP-102944,64449432.35,38393068.74
MP-102695,63481864.79,50896402.44
S50,110097790,104204745.1
S79,95974320.89,84859152.04
S67,92309282.25,80205130.9
S73,74686443.61,62561975.46
S28RE,53201251.69,46350646.37
S19E,5537984.842,3992720.434
S25,1776128.351,1243861.38
S19,2386504.605,1556597.225
S23,38340265.69,35691729.76
S20R,14753347.88,14318847
S24,9458372.683,8170157.628
S24,9458372.683,8170157.628
S18,6158250.78,5424989.375
S18,6158250.78,5424989.375
S13R,2762287.308,2437748.219
S14,2839957.464,2589690.165
S17,2277233.898,2029854.805
S17,2277233.898,2029854.805
S16,1887323.821,1750940.561
S15,410286.7614,308582.6558
S21,20631194.14,18582246.65
S21R,20047881.38,18200935.48
S83,2205577.611,1470544.581
S29,5345075.899,3701082.068
S29,5345075.899,3701082.068
S72,4358139.539,2861126.145
S71,4248629.406,2731918.834
S68,1216596.919,1196024.621
U20,716874.6096,620558.5844
U22,313061.3939,228457.4258
