"comid","site","NPP_kgCm2","ET_kgm2year"
90060,"S19S_0042",58510.2575963688,915759.271855839
664126,"S19S_0098",788828.001498653,875006.145086436
664488,"S19S_0097",20157490.3278704,21193621.925861
698676,"S19S_0024",5779056.35474559,7092996.62222743
1049671,"S19S_0011",21238768.7024366,29704682.8022171
1239639,"S19S_0027",132820.280350413,103920.31345494
1306285,"S19S_0025",771452.193219704,1058474.44007124
1314635,"MP-3317",1543271.36237931,2331788.88328573
1332186,"EAS-RUS",144906.722801097,249505.331315914
1332190,"EAS-BRA",42264.9601671649,81849.5739002212
1332198,"EAS-ROC",63635.2414558083,77272.543439686
1332754,"EAS-PUM",947765.689513431,1458459.69929935
1332754,"S19S_0100",947765.689513431,1458459.69929935
1333022,"TAY-TAY",3885293.91371513,5119163.27737212
1333418,"EAS-ALM",10324788.5830291,12156987.2736657
1333490,"TAY-RES",8394008.33516646,10364244.0622203
1566256,"MP-2179",4786016.00020946,6518454.8815081
1748723,"S19S_0052",2794333.74383604,2095569.05854596
2649684,"SP-6",473439435.262523,502662250.152057
2663987,"S19S_0069",217452.55504355,143001.292761683
2665551,"S19S_0070",189932.609421766,124366.399542898
2889384,"S19S_0071",106930.003080339,78192.6000464279
2889452,"S19S_0026",252028.36465711,198510.280507153
2900705,"S19S_0077",37473435.2343259,34506460.1678423
3232569,"GUN-GRJ",274365982.348308,269602183.956073
3252173,"GUN-TUN",136231243.225753,135759401.301568
3252637,"S19S_0062",36387914.8170733,38711854.3615645
3252665,"GUN-GUN",36719997.0992862,39020058.1529527
3252693,"GUN-R32",72001951.5109336,69885396.0180802
3424530,"S19S_0015",261118125.538049,444726730.231661
3473077,"S19S_0067",2176881.65512802,2623325.55906742
3649284,"S19S_0017",320130.846683677,440974.892901783
3886082,"S19S_0099",246137660.705825,341251846.045254
4366016,"MP-1796",160871393.578442,209429070.885964
4570659,"CT-EBRA",4175733.81017025,2938397.25931152
4570675,"CT-MOOS",6441350.26798724,4289599.47374317
4572307,"CT-SLPR",3686540.61772215,3193747.61814687
4572347,"CT-POPE",346265.002585457,245954.45652028
4572379,"CT-PASS",34469797.0756266,28547113.1357127
4650944,"S19S_0037",0,212978.833929727
4650944,"S19S_0038",0,212978.833929727
4682628,"S19S_0064",3188258.57064677,2828019.89973642
4711518,"MP-3508",2255446.29108238,2791421.71492854
5781917,"MP-2194",975890170.764238,1098603762.15226
5781919,"S19S_0063",974683217.990022,1096270003.27623
5848094,"MP-18",2022077.35716914,1820080.84771931
5848106,"MP-19",3460051.77454141,3388106.4118835
5860599,"S19S_0073",139784.75983957,111725.240121199
5862611,"S19S_0072",314617.802384728,694516.130783703
6109169,"S19S_0053",130351.79874423,94980.6293052307
6109235,"CT-PHEL",236538.444520516,178242.506458418
6109247,"CT-BUNN",295463.171374591,254042.546564161
6109457,"CT-NEPA",1793333.62841976,1472781.1992556
6109643,"CT-UNIO",29916111.4951736,27996994.2416818
6109717,"CT-FARM",51246048.2344791,57001114.7605681
6111419,"CT-STIL",6941531.40959236,6187881.24566987
6177260,"MP-2865",3465333.4424837,5291074.39923924
6186124,"MP-195",8786411.85977443,6803574.43161018
6333706,"SP-5",908602.489159751,1829880.53100645
6667885,"MP-1481",304433643.621411,502095006.863749
6883680,"S19S_0089",761237.0633626,1307195.26970882
6884184,"MP-11342",17729294.3015119,20019970.4495861
6908699,"MP-1110",245513462.270175,235916969.237149
7690025,"S19S_0012",354848.255199114,325136.664537834
7700898,"CT-THOM",780639391.910692,706115899.625026
7843181,"MP-2197",105791332.737937,148613486.48989
7972667,"MP-2376",253488283.872756,211640969.799671
8272693,"S19S_0065",88433926.9550154,50823356.6055434
8380297,"S19S_0082",0,666426.044801211
8444872,"S19S_0014",262173.53019916,280975.045882293
8508050,"S19S_0054",57336364.6654427,102333203.786909
8922013,"MP-3254",1892379.06409778,3128303.39750657
9071958,"SP-4",74024182.6418471,109922837.740795
9090922,"MP-1285",46126023.0345119,81883365.1240049
9643259,"S19S_0044",3070718.24723235,5595740.63521805
11323962,"S19S_0032",53241.5309378437,86139.0544266663
11574664,"MP-645",44238828.3341953,67132314.0550599
11689186,"S19S_0006",0,3695187.15294832
11689186,"S19S_0006_D",0,3695187.15294832
11689186,"S19S_0006_M",0,3695187.15294832
11689186,"S19S_0006_U",0,3695187.15294832
11722717,"S19S_0023",29800776.0795352,28876684.765957
12058092,"S19S_0090",150561.473666085,143689.735386574
12890609,"S19S_0009",42516170.9253446,53182361.825102
12890609,"S19S_0009_D",42516170.9253446,53182361.825102
12890609,"S19S_0009_M",42516170.9253446,53182361.825102
12890609,"S19S_0009_U",42516170.9253446,53182361.825102
13204443,"MP-1425",377021826.41791,449128157.037771
13294176,"S19S_0043",728887.728370094,672985.201982038
13571661,"S19S_0083",9990209.8921845,13765462.7473866
13633173,"S19S_0061",27180.3118949635,24614.5106590101
14347322,"S19S_0010",629900908.352288,1137534461.51539
14347322,"S19S_0010_D",629900908.352288,1137534461.51539
14347322,"S19S_0010_M",629900908.352288,1137534461.51539
14347322,"S19S_0010_U",629900908.352288,1137534461.51539
15612718,"SP-1",61431385.3325659,71651515.8597146
15890430,"SP-13",110273315.947317,149547115.045354
15903137,"SP-10",108457342.455482,147561680.667402
17461568,"SP-2",740731510.281999,827320202.228813
17808622,"S19S_0080",441862191.506773,415815901.862041
17819084,"S19S_0066",428244669.216953,391068112.990753
17827558,"S19S_0034",69535.3523733819,48927.9290966955
18208464,"S19S_0022",153638.236623088,401666.662877955
18211220,"S19S_0021",328485986.139187,530871380.48599
18548456,"S19S_0020",778910951.928043,1432485741.93858
18841314,"S19S_0016",159522.920770596,286436.587510602
18841358,"S19S_0040",20005.7848508758,33945.4018502422
19088319,"SP-15",51374425166.6708,62475984766.4599
20440650,"S19S_0028",2412215.1125958,1820877.56509292
22048111,"S19S_0033",433935.458890521,280616.083794395
22050323,"S19S_0008",85820.9329015748,41664.7358756531
22050323,"S19S_0008_D",85820.9329015748,41664.7358756531
22050323,"S19S_0008_M",85820.9329015748,41664.7358756531
22050323,"S19S_0008_U",85820.9329015748,41664.7358756531
22125024,"S19S_0019",57138.5254145861,61978.921716722
22125640,"S19S_0039",1751687.62202054,2293524.5402795
22144520,"S19S_0018",183876.924107195,212517.403000264
22290155,"MP-162",4832842.77337178,3333042.28511911
22290173,"MP-161",15162106.5903786,12208563.0974726
22337975,"S19S_0081",0,19988023.0219766
22339187,"MP-587",1117383.03431639,1516160.79911617
22563070,"MP-3102",13083938.2234135,24965877.2056485
23027050,"S19S_0059",122182.944893207,139023.033206702
23099678,"T02",277122407.75983,265622598.541361
23099694,"S33",248077391.45785,236344559.436724
